Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ANA,43,4.59,.702,162,1458,1033,12882.0,5916,4294,1517,105,138,.982,86,8,21,2
ARI,43,4.23,.690,162,1458,1110,13095.0,6165,4365,1693,107,132,.983,25,2,-41,-4
ATL,34,4.57,.699,162,1458,1111,13107.0,6374,4369,1884,121,166,.981,42,4,42,4
BAL,42,5.03,.684,163,1467,1226,13047.0,6137,4349,1683,105,164,.983,-49,-4,-14,-1
BOS,47,4.99,.683,162,1458,1096,13182.0,6186,4394,1679,113,130,.982,-49,-4,-23,-2
CHC,42,4.22,.692,162,1458,1103,13107.0,6156,4369,1681,106,157,.983,7,1,-26,-2
CHW,40,4.41,.705,162,1458,1075,12879.0,5974,4293,1588,93,154,.984,26,2,26,0
CIN,57,5.47,.685,162,1458,1100,13017.0,6180,4339,1700,141,152,.977,29,3,-5,0
CLE,54,4.80,.698,162,1458,1156,13134.0,6284,4378,1780,126,178,.980,31,3,27,2
COL,49,5.51,.678,162,1458,1120,12780.0,6161,4260,1785,116,165,.981,9,1,5,0
DET,42,5.73,.685,162,1458,1156,12948.0,6267,4316,1813,138,194,.978,-43,-4,-36,-1
FLA,40,4.27,.691,162,1458,1185,13008.0,6004,4336,1590,78,162,.987,-15,-1,-23,-2
HOU,43,4.18,.705,162,1458,1113,13050.0,6155,4350,1710,95,149,.985,-9,-1,70,6
KCR,53,5.35,.690,162,1458,1135,12948.0,6129,4316,1705,108,143,.982,-17,-2,-48,-1
LAD,42,3.43,.702,162,1458,1058,13119.0,6302,4373,1810,119,164,.981,48,4,67,6
MIL,42,5.39,.683,162,1458,1171,13068.0,6087,4356,1617,114,142,.981,-15,-1,-83,-8
MIN,42,4.68,.698,162,1458,1129,13158.0,5954,4386,1481,87,114,.985,-35,-3,-6,-1
WSN,43,4.42,.694,162,1458,1082,12939.0,6147,4313,1732,102,152,.983,9,1,7,0
NYM,50,4.68,.688,161,1449,957,12720.0,6013,4240,1655,118,158,.980,-51,-5,-43,-4
NYY,49,4.39,.681,163,1467,1194,13158.0,6078,4386,1578,114,126,.981,-66,-6,-37,-1
OAK,41,3.97,.711,162,1458,1133,12975.0,6211,4325,1779,107,145,.983,19,2,9,1
PHI,37,4.30,.701,162,1458,1179,12993.0,6122,4331,1694,97,146,.984,62,6,14,0
PIT,45,4.94,.691,162,1458,1058,12999.0,6300,4333,1844,123,159,.980,-28,-3,-1,0
SDP,51,5.13,.695,162,1458,1085,12882.0,6030,4294,1634,102,141,.983,-26,-2,-18,0
SEA,36,3.93,.721,162,1458,1185,12969.0,5838,4323,1450,65,159,.989,75,7,41,4
SFG,46,3.96,.710,161,1449,1105,12936.0,6067,4312,1675,80,163,.987,46,4,31,0
STL,42,4.91,.700,162,1458,973,13173.0,6112,4391,1644,77,138,.987,32,3,-9,-1
TBD,50,5.26,.708,162,1458,1172,12930.0,5993,4310,1580,103,158,.983,-12,-1,17,2
TEX,52,5.98,.674,162,1458,1091,12900.0,6097,4300,1703,94,168,.985,-43,-4,66,6
TOR,40,5.10,.681,162,1458,1149,12915.0,6164,4305,1742,117,161,.981,-50,-5,-48,-4
