Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,47,4.52,.691,162,1458,1089,12969.0,6064,4323,1635,106,157,.983,40,4,40,4
ATL,50,4.52,.696,162,1458,1118,13107.0,6133,4369,1657,107,141,.983,27,2,64,6
BAL,49,5.36,.686,162,1458,1112,12948.0,6085,4316,1690,79,155,.987,-7,-1,-5,0
BOS,40,4.06,.704,162,1458,1112,12948.0,5935,4316,1538,81,145,.986,75,7,1,0
CHC,47,4.26,.704,162,1458,1035,13020.0,5969,4340,1535,94,134,.984,53,5,21,2
CHW,43,5.18,.680,162,1458,1165,12966.0,6034,4322,1604,108,168,.982,-48,-4,-58,-5
CIN,50,5.27,.676,162,1458,1094,13047.0,5961,4349,1517,95,155,.984,-49,-5,-52,-5
CLE,41,4.35,.685,162,1458,1115,13164.0,6177,4388,1697,92,167,.985,3,0,7,0
COL,53,4.65,.701,163,1467,1102,13248.0,6326,4416,1842,68,180,.989,79,7,37,3
DET,44,4.92,.690,162,1458,1095,13026.0,6076,4342,1635,99,148,.984,8,1,45,1
FLA,50,5.50,.659,162,1458,1119,12993.0,5978,4331,1510,137,159,.977,-50,-5,-63,-6
HOU,41,5.02,.685,162,1458,993,13182.0,6186,4394,1689,103,128,.983,-15,-1,-37,-3
KCR,45,4.80,.681,162,1458,1111,12936.0,5971,4312,1553,106,160,.982,17,2,46,4
ANA,42,4.51,.678,162,1458,1131,12915.0,5956,4305,1550,101,154,.983,12,1,-5,0
LAD,45,4.49,.682,162,1458,1046,13050.0,6115,4350,1651,114,160,.981,-20,-2,3,0
MIL,40,4.79,.675,162,1458,1115,12999.0,5971,4333,1529,109,144,.982,-47,-4,-4,0
MIN,42,4.48,.685,162,1458,1161,12930.0,6017,4310,1611,96,151,.984,-5,0,24,0
NYM,49,4.63,.698,162,1458,1168,13071.0,5976,4357,1518,101,124,.983,28,3,21,2
NYY,49,4.80,.689,162,1458,1099,13056.0,6028,4352,1588,88,174,.985,9,1,-9,0
OAK,52,4.68,.691,162,1458,1174,13032.0,6121,4344,1687,90,153,.985,-14,-1,15,1
PHI,45,5.07,.686,162,1458,1014,13125.0,6187,4375,1723,89,162,.986,20,2,48,1
PIT,46,5.22,.673,162,1458,1140,13029.0,6147,4343,1721,83,190,.986,-35,-3,-19,-2
SDP,46,4.09,.699,163,1467,1165,13362.0,6311,4454,1763,94,147,.985,-19,-2,1,0
SEA,43,5.02,.672,162,1458,1120,12909.0,6049,4303,1656,90,167,.985,-33,-3,-43,-4
SFG,44,4.44,.694,162,1458,1072,13083.0,6115,4361,1666,88,148,.986,7,1,10,1
STL,45,5.12,.689,162,1458,1027,12921.0,6100,4307,1672,121,155,.980,1,0,53,5
TBD,45,5.83,.652,162,1458,1211,12867.0,5954,4289,1548,117,155,.980,-67,-6,-75,-7
TEX,50,5.21,.679,162,1458,1073,12870.0,6159,4290,1745,124,179,.980,5,0,5,0
TOR,45,4.31,.703,162,1458,1131,13038.0,6301,4346,1853,102,160,.984,58,5,89,1
WSN,47,4.83,.698,162,1458,1065,13020.0,6016,4340,1567,109,153,.982,8,1,-8,-1
