Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,49,3.98,.698,162,1458,1119,13167.0,6150,4389,1686,75,152,.988,32,3,122,2
ATL,57,4.06,.709,162,1458,1166,13110.0,5889,4370,1439,80,134,.986,33,3,56,5
BAL,56,5.51,.674,162,1458,1112,12879.0,5934,4293,1537,104,159,.982,-48,-5,-104,-2
BOS,43,3.99,.693,162,1458,1127,13128.0,5819,4376,1366,77,106,.987,35,3,-38,-1
CHC,50,3.96,.700,163,1467,933,13287.0,6208,4429,1675,104,155,.983,71,6,41,4
CHW,51,5.23,.690,162,1458,1156,12933.0,5856,4311,1431,114,135,.981,-50,-5,-60,-6
CIN,53,5.06,.685,162,1458,1084,12969.0,6026,4323,1608,95,144,.984,-40,-4,-3,0
CLE,48,4.00,.688,162,1458,1064,13116.0,5808,4372,1353,83,123,.986,-6,-1,16,0
COL,41,4.57,.688,163,1467,1140,13071.0,6055,4357,1624,74,162,.988,28,3,-11,-1
DET,49,4.91,.694,162,1458,1205,12828.0,5799,4276,1428,95,126,.984,11,1,-2,0
HOU,41,3.30,.705,162,1458,1014,13095.0,5797,4365,1369,63,116,.989,37,3,23,2
KCR,49,5.14,.680,162,1458,1234,12888.0,5902,4296,1529,77,142,.987,-7,-1,12,0
ANA,60,4.46,.693,162,1458,1083,12936.0,5890,4312,1502,76,173,.987,30,3,47,4
LAD,52,3.74,.698,163,1467,910,13284.0,5963,4428,1435,100,111,.983,8,1,36,3
FLA,51,5.02,.697,161,1449,980,12978.0,5857,4326,1448,83,133,.986,-6,-1,32,0
MIL,53,4.04,.704,163,1467,959,13149.0,5944,4383,1453,108,141,.982,45,4,96,9
MIN,54,4.78,.682,162,1458,1137,12990.0,5881,4330,1454,97,127,.984,-22,-2,-7,0
NYM,56,4.36,.691,162,1458,1136,13146.0,5876,4382,1406,88,121,.985,-47,-4,-84,-8
NYY,49,4.13,.684,162,1458,1155,13107.0,5807,4369,1344,94,95,.984,-50,-5,8,1
OAK,53,4.16,.717,162,1458,1116,13191.0,6080,4397,1594,89,125,.985,40,4,28,3
PHI,48,4.49,.677,162,1458,1092,13011.0,5938,4337,1478,123,138,.979,-57,-5,-132,-12
PIT,47,4.30,.686,161,1449,1136,12906.0,5884,4302,1477,105,129,.982,-16,-1,-26,0
SDP,49,4.73,.680,162,1458,1092,13113.0,6010,4371,1539,100,127,.983,-19,-2,49,4
SEA,53,4.39,.691,162,1458,1099,13038.0,5920,4346,1486,88,152,.985,4,0,-15,-1
SFG,48,4.31,.692,162,1458,1111,13152.0,6086,4384,1605,97,160,.984,10,1,23,2
STL,49,4.27,.685,162,1458,1031,13098.0,6039,4366,1540,133,151,.978,-6,-1,36,3
TBD,54,3.99,.708,162,1458,1101,13035.0,5913,4345,1483,85,136,.986,61,6,26,0
TEX,50,5.23,.682,162,1458,1149,12879.0,5971,4293,1558,120,168,.980,15,1,-2,0
TOR,63,5.14,.678,162,1458,1116,12903.0,5849,4301,1447,101,138,.983,-57,-5,-96,-9
WSN,53,4.21,.703,162,1458,1078,13014.0,5765,4338,1363,64,115,.989,-22,-2,-47,-1
