Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,48,5.16,.689,162,1458,1152,12888.0,5970,4296,1572,102,152,.983,25,2,11,1
ATL,43,3.88,.690,162,1458,1057,12954.0,6214,4318,1770,126,166,.980,23,2,20,0
BAL,45,4.85,.690,162,1458,1154,12927.0,5996,4309,1582,105,141,.982,-7,-1,-24,0
BOS,53,4.59,.691,162,1458,1045,13110.0,6069,4370,1588,111,132,.982,31,3,14,0
CHC,44,4.73,.681,162,1458,1118,12930.0,5986,4310,1550,126,137,.979,-54,-5,-43,-4
CHW,39,4.35,.679,162,1458,1183,13017.0,6105,4339,1663,103,158,.983,-42,-4,-61,-6
CIN,44,4.23,.701,162,1458,1079,13077.0,6039,4359,1608,72,142,.988,27,2,42,4
CLE,44,4.64,.687,162,1458,1189,12897.0,6223,4299,1814,110,179,.982,6,1,-5,0
COL,43,4.43,.682,162,1458,1075,12978.0,6134,4326,1707,101,182,.984,22,2,44,1
DET,41,4.59,.688,162,1458,1069,12999.0,6110,4333,1668,109,171,.982,38,4,1,0
FLA,57,4.43,.681,162,1458,1142,12945.0,5940,4315,1502,123,130,.979,-20,-2,-34,-3
HOU,48,4.50,.680,162,1458,1136,12954.0,6018,4318,1597,103,135,.983,-53,-5,-26,0
KCR,46,5.22,.679,162,1458,1230,12930.0,6019,4310,1588,121,138,.980,-22,-2,-93,-9
ANA,46,4.33,.692,162,1458,1155,13044.0,6023,4348,1562,113,116,.981,-37,-3,-14,-1
LAD,49,4.27,.697,162,1458,1120,12975.0,6012,4325,1589,98,124,.984,1,0,-65,-6
MIL,43,4.96,.675,162,1458,1192,12951.0,5934,4317,1516,101,142,.983,-34,-3,3,0
MIN,41,4.14,.690,162,1458,1164,13074.0,6146,4358,1710,78,150,.987,1,0,-11,-1
NYM,47,4.02,.691,162,1458,1143,13077.0,6111,4359,1665,87,159,.986,33,3,43,4
NYY,43,4.28,.709,162,1458,1082,12981.0,5918,4327,1522,69,161,.988,13,1,37,3
OAK,49,3.86,.711,162,1458,1122,12885.0,6098,4295,1704,99,147,.984,31,3,78,1
PHI,42,3.95,.698,162,1458,1178,13107.0,6139,4369,1687,83,158,.986,24,2,3,0
PIT,52,5.35,.671,162,1458,1170,12705.0,6016,4235,1654,127,120,.979,-98,-9,-74,-7
SDP,40,3.59,.703,162,1458,1090,13107.0,6067,4369,1626,72,141,.988,36,3,82,8
SEA,46,4.31,.705,162,1458,1242,12942.0,6081,4314,1657,110,145,.982,30,3,14,0
SFG,42,3.60,.707,162,1458,997,13149.0,5941,4383,1485,73,110,.988,25,2,28,3
STL,42,3.96,.694,162,1458,1038,13083.0,6332,4361,1872,99,172,.984,5,0,50,5
TBD,36,4.01,.709,162,1458,1065,13083.0,5945,4361,1499,85,134,.986,34,3,43,1
TEX,48,4.24,.704,162,1458,1130,13098.0,5970,4366,1499,105,133,.982,4,0,-17,-2
TOR,44,4.49,.689,162,1458,1183,12966.0,6105,4322,1691,92,172,.985,14,1,11,1
WSN,46,4.58,.684,162,1458,1001,12915.0,6089,4305,1657,127,148,.979,-9,-1,-8,0
