2.58,0.0003129313,1.55,0.9996871,0.0
1.82,0.9345059,2.06,0.06549411,1.0
1.79,0.937118,2.1,0.062881954,1.0
2.59,0.00017360371,1.55,0.9998264,0.0
1.58,0.94681954,2.52,0.053180464,1.0
2.68,5.550194e-15,1.51,1.0,0.0
1.84,1.1163683e-07,2.03,0.9999999,0.0
1.53,1.2762608e-05,2.61,0.99998724,0.0
2.24,6.9263466e-09,1.7,1.0,0.0
2.25,0.0029414308,1.71,0.99705863,0.0
2.08,3.6019168e-10,1.82,1.0,0.0
1.83,0.000332319,2.06,0.99966764,0.0
2.1,0.5998251,1.79,0.40017486,0.0
1.89,0.89498734,1.97,0.10501269,1.0
1.96,0.39468178,1.9,0.60531825,1.0
1.91,0.59424335,1.95,0.40575668,0.0
2.41,0.0026201473,1.62,0.99737984,0.0
1.77,0.63565904,2.12,0.364341,1.0
2.1,4.024952e-08,1.79,1.0,0.0
1.97,0.002462207,1.87,0.99753785,0.0
2.03,2.5663263e-13,1.84,1.0,0.0
2.14,0.5617234,1.77,0.4382766,1.0
2.2,0.5033935,1.72,0.4966065,1.0
2.11,0.3806854,1.78,0.6193146,0.0
1.66,0.43902454,2.32,0.5609755,0.0
1.72,0.6003252,2.2,0.39967477,1.0
1.76,0.9448263,2.16,0.055173676,1.0
1.85,0.9356445,2.02,0.06435545,1.0
1.79,0.58425915,2.1,0.41574088,1.0
1.92,0.89350677,1.94,0.10649317,1.0
2.71,0.000104166334,1.51,0.9998958,0.0
2.28,1.5514071e-13,1.68,1.0,0.0
1.77,0.45304906,2.13,0.54695094,1.0
1.78,0.94632,2.11,0.053680003,1.0
1.85,0.26179272,2.02,0.7382073,0.0
1.9,0.74472636,1.96,0.25527367,1.0
1.71,0.006933274,2.22,0.99306667,0.0
1.82,0.521251,2.06,0.47874907,1.0
1.73,0.9365219,2.19,0.063478164,1.0
2.43,0.050157063,1.58,0.94984293,0.0
1.71,0.5982222,2.23,0.40177774,1.0
1.84,0.6027597,2.04,0.39724028,1.0
1.36,0.9212379,3.34,0.07876214,1.0
2.22,0.25220263,1.72,0.7477973,0.0
1.67,0.039502855,2.32,0.9604971,0.0
2.14,0.8505012,1.77,0.1494988,1.0
1.61,0.5825216,2.43,0.41747844,0.0
2.27,0.79721916,1.69,0.20278084,0.0
2.4,0.32029593,1.62,0.67970407,0.0
2.07,0.7312088,1.81,0.26879117,1.0
1.62,0.89621735,2.4,0.10378264,1.0
2.12,0.43662614,1.78,0.56337386,1.0
1.76,0.50088245,2.15,0.49911752,0.0
1.65,0.3038757,2.35,0.69612426,0.0
1.91,0.62032735,1.96,0.37967265,1.0
1.8,0.47477597,2.08,0.52522403,0.0
2.15,0.836684,1.76,0.16331597,1.0
1.89,0.4846461,1.97,0.5153538,0.0
1.59,0.56292236,2.49,0.43707767,1.0
2.19,0.46994323,1.7,0.5300567,0.0
2.25,0.101780415,1.7,0.8982195,0.0
2.33,0.62443334,1.65,0.37556666,0.0
1.61,0.84718966,2.43,0.1528103,0.0
1.77,0.90940773,2.12,0.09059223,1.0
